poř.,titul,titul orig.,distributor,formát,premiéra,produkce,předst.,diváci,tržby,předst._celkem,diváci_celkem,tržby_celkem,rok,předst,předst_celkem,číslo,úprava,kopií,čisté tržby,pořadí,český název,orig. název,země,diváků,čistá tržba,titul cz,titul orig,prod
38,Escobar,Loving Pablo,Bontonfilm,,2018-06-14 00:00:00,ESP,,107026,16782344,,107026,16782344,2018,3511,3511,,,,,,,,,,,,,
39,Rudá volavka,Red Sparrow,CinemArt,,2018-03-01 00:00:00,USA,,102384,15959881,,102384,15959881,2018,3351,3351,,,,,,,,,,,,,
40,Chata na prodej,Chata na prodej,CinemArt,,2018-07-26 00:00:00,CZE,,99862,12131219,,99862,12131219,2018,3756,3756,,,,,,,,,,,,,
41,Pračlověk,Early Man,CinemArt,,2018-02-22 00:00:00,GBR,,95912,10864291,,95912,10864291,2018,3621,3621,,,,,,,,,,,,,
42,Pat a Mat: Zimní radovánky,Pat a Mat: Zimní radovánky,Bioscop/AQS,,2018-11-22 00:00:00,CZE,,94316,12028434,,94316,12028434,2018,2778,2778,,,,,,,,,,,,,
43,Planeta Česko,Planeta Česko,Aerofilms,,2018-03-22 00:00:00,CZE,,93156,7935476,,93156,7935476,2018,2768,2768,,,,,,,,,,,,,
44,Toman,Toman,Falcon,,2018-10-04 00:00:00,CZE,,91728,12860563,,91728,12860563,2018,2805,2805,,,,,,,,,,,,,
45,Jsem božská,I Feel Pretty,Bontonfilm,,2018-06-21 00:00:00,USA,,89744,13668608,,89744,13668608,2018,2925,2925,,,,,,,,,,,,,
46,Jan Palach,Jan Palach,CinemArt,,2018-08-21 00:00:00,CZE,,89022,9357774,,89022,9357774,2018,2731,2731,,,,,,,,,,,,,
47,Pacific Rim: Povstání,Pacific Rim Uprising,CinemArt,,2018-03-22 00:00:00,USA,,88934,14082513,,88934,14082513,2018,4252,4252,,,,,,,,,,,,,
48,Nejtemnější hodina,Darkest Hour,CinemArt,,2018-01-11 00:00:00,GBR,,87757,11258919,,88105,11311461,2018,2786,2799,,,,,,,,,,,,,
49,Predátor: Evoluce ,"Predátor, The",CinemArt,,2018-09-13 00:00:00,USA,,86884,14265779,,86884,14265779,2018,4401,4401,,,,,,,,,,,,,
50,Bumblebee,Bumblebee,CinemArt,,2018-12-20 00:00:00,USA,,82576,12884466,,82576,12884466,2018,2808,2808,,,,,,,,,,,,,
1,"Já, padouch 3",Despicable Me 3,CinemArt,,2017-06-29 00:00:00,USA,,610882,82848893,,610882,82848893,2017,16456,16456,,,,,,,,,,,,,
2,Piráti z Karibiku: Salazarova pomsta,Pirates of the Caribbean: Salazar’s Revenge,Falcon,,2017-05-25 00:00:00,USA,,567665,82651626.68,,567665,82651626.68,2017,13249,13249,,,,,,,,,,,,,
3,Po strništi bos,Po strništi bos,Bioscop/AQS,,2017-08-17 00:00:00,CZE,,505282,64813015,,505282,64813015,2017,10427,10427,,,,,,,,,,,,,
4,Star Wars: Poslední z Jediů,Star Wars: The Last Jedi,Falcon,,2017-12-14 00:00:00,USA,,439677,70318992,,439677,70318992,2017,7564,7564,,,,,,,,,,,,,
5,Thor: Ragnarok,Thor: Ragnarok,Falcon,,2017-10-26 00:00:00,USA,,431793,67470004,,431793,67470004,2017,10125,10125,,,,,,,,,,,,,
6,Špunti na vodě,Špunti na vodě,Bioscop/AQS,,2017-04-13 00:00:00,CZE,,401979,40924516.89,,401979,40924516.89,2017,7677,7677,,,,,,,,,,,,,
7,Šmoulové: Zapomenutá vesnice,Smurfs: The Lost Village,Falcon,,2017-03-30 00:00:00,USA,,394431,48659233,,394431,48659233,2017,9765,9765,,,,,,,,,,,,,
8,Kráska a zvíře,Beauty and the Beast,Falcon,,2017-03-16 00:00:00,USA,,390246,51196287.36,,390246,51196287.36,2017,9319,9319,,,,,,,,,,,,,
9,Padesát odstínů temnoty,Fifty Shades Darker,CinemArt,,2017-02-09 00:00:00,USA,,377567,55745773,,377567,55745773,2017,7467,7467,,,,,,,,,,,,,
10,Anděl Páně 2,Anděl Páně 2,Falcon,,2016-12-01 00:00:00,CZE,,365376,36268105,,1279143,146653736,2017,7381,16182,,,,,,,,,,,,,
11,Masaryk,Masaryk,Bioscop/AQS,,2016-12-25 00:00:00,CZE,,340397,41322051,,343563,41746040,2017,7214,7221,,,,,,,,,,,,,
12,Mimi šéf,"Boss Baby, The",CinemArt,,2017-04-20 00:00:00,USA,,319253,37998183,,319253,37998183,2017,8387,8387,,,,,,,,,,,,,
13,Všechno nebo nic,Všechno nebo nic,Bioscop/AQS,,2017-01-12 00:00:00,CZE,,309668,39727192,,311167,39931003,2017,6535,6556,,,,,,,,,,,,,
14,Strážci Galaxie Vol.2,Guardians of the Galaxy 2,Falcon,,2017-05-04 00:00:00,USA,,285042,43220361,,285042,43220361,2017,8282,8282,,,,,,,,,,,,,
15,Rychle a zběsile 8,"Fate of the Furious, The",CinemArt,,2017-04-13 00:00:00,USA,,273739,37444526,,273739,37444526,2017,5428,5428,,,,,,,,,,,,,
16,Dunkerk,Dunkirk,Vertical Entertainment (Freeman),,2017-07-20 00:00:00,NLD,,253853,37904024,,253853,37904024,2017,7396,7396,,,,,,,,,,,,,
17,To,It,Vertical Entertainment (Freeman),,2017-09-07 00:00:00,USA,,236543,34788680,,236543,34788680,2017,5132,5132,,,,,,,,,,,,,
18,Spider-Man: Homecoming,Spider-Man: Homecoming,Falcon,,2017-07-06 00:00:00,USA,,197947,29132354,,197947,29132354,2017,7145,7145,,,,,,,,,,,,,
19,Auta 3,Cars 3,Falcon,,2017-06-15 00:00:00,USA,,195861,26073689.6,,195861,26073689.6,2017,7202,7202,,,,,,,,,,,,,
20,Emoji ve filmu,Emoji ,Falcon,,2017-08-10 00:00:00,USA,,195299,26011810,,195299,26011810,2017,7852,7852,,,,,,,,,,,,,
21,Logan: Wolverine,Logan,CinemArt,,2017-03-02 00:00:00,USA,,190252,27717732,,190252,27717732,2017,4294,4294,,,,,,,,,,,,,
22,Hurvínek a kouzelné muzeum,Hurvínek a kouzelné muzeum,CinemArt,,2017-08-31 00:00:00,CZE,,187699,22946911,,187699,22946911,2017,6971,6971,,,,,,,,,,,,,
23,Vražda v Orient expresu,Murder on the Orient Express,CinemArt,,2017-11-09 00:00:00,USA,,180266,25522102,,180266,25522102,2017,5286,5286,,,,,,,,,,,,,
24,Bajkeři,Bajkeři,Falcon,,2017-10-19 00:00:00,CZE,,174958,23383991.5,,174958,23383991.5,2017,5617,5617,,,,,,,,,,,,,
25,Lego® Batman Film,"Lego, The® Batman Movie",Vertical Entertainment (Freeman),,2017-02-09 00:00:00,USA,,168514,22736542,,168514,22736542,2017,6117,6117,,,,,,,,,,,,,
26,Zpívej,Sing,CinemArt,,2016-12-22 00:00:00,USA,,158654,18338014,,220598,26521710,2017,4546,6304,,,,,,,,,,,,,
27,Liga spravedlnosti,Justice League ,Vertical Entertainment (Freeman),,2017-11-16 00:00:00,USA,,156583,23805441,,156583,23805441,2017,6519,6519,,,,,,,,,,,,,
28,Špindl,Špindl,Bontonfilm,,2017-12-21 00:00:00,CZE,,155541,21687759,,155541,21687759,2017,2001,2001,,,,,,,,,,,,,
29,Jumanji: Vítejte v džungli!,Jumanji: Welcome to the Jungle,Falcon,,2017-12-21 00:00:00,USA,,146692,22240844,,146692,22240844,2017,2318,2318,,,,,,,,,,,,,
30,Annabelle 2: Zrození zla,Annabelle: Creation,Vertical Entertainment (Freeman),,2017-08-10 00:00:00,USA,,139531,20595337,,139531,20595337,2017,4233,4233,,,,,,,,,,,,,
31,Psí poslání,"Dog’s Purpose, A",Vertical Entertainment (Freeman),,2017-01-26 00:00:00,USA,,132518,16473382,,132518,16473382,2017,4124,4124,,,,,,,,,,,,,
32,Transformers: Poslední rytíř,Transformers: The Last Knight,CinemArt,,2017-06-22 00:00:00,USA,,127177,19109676,,127177,19109676,2017,4935,4935,,,,,,,,,,,,,
33,Vetřelec: Covenant,Alien: Covenant,CinemArt,,2017-05-18 00:00:00,USA,,119620,17757044,,119620,17757044,2017,3793,3793,,,,,,,,,,,,,
34,Zahradnictví: Rodinný přítel,Zahradnictví: Rodinný přítel,CinemArt,,2017-04-27 00:00:00,CZE,,118071,13895511,,118071,13895511,2017,4270,4270,,,,,,,,,,,,,
35,Blade Runner 2049,Blade Runner 2049,Falcon,,2017-10-05 00:00:00,GBR,,117049,18837639,,117049,18837639,2017,4764,4764,,,,,,,,,,,,,
36,La La Land,La La Land,Vertical Entertainment (Freeman),,2017-01-05 00:00:00,USA,,110444,14478364,,111746,14659016,2017,2928,2945,,,,,,,,,,,,,
37,Sněhulák,"Snowman, The",CinemArt,,2017-10-12 00:00:00,USA,,108529,15548954,,108529,15548954,2017,3599,3599,,,,,,,,,,,,,
38,Kingsman: Zlatý kruh,Kingsman: The Golden Circle,CinemArt,,2017-09-21 00:00:00,GBR,,108198,16080635,,108198,16080635,2017,4009,4009,,,,,,,,,,,,,
39,Milada,Milada,Bohemia Motion Pictures,,2017-11-02 00:00:00,CZE,,104966,13764312,,104966,13764312,2017,3032,3032,,,,,,,,,,,,,
40,Paddington 2,Paddington 2,Vertical Entertainment (Freeman),,2017-11-30 00:00:00,GBR,,104339,11412501,,104339,11412501,2017,4090,4090,,,,,,,,,,,,,
41,Valerian a město tisíce planet,Valerian and the City of a Thousand Planets,Bioscop/AQS,,2017-07-20 00:00:00,FRA,,98729,13738802,,98729,13738802,2017,4964,4964,,,,,,,,,,,,,
42,Příšerákovi,Happy Family,Bioscop/AQS,,2017-11-02 00:00:00,DEU,,95799,12356989,,95799,12356989,2017,4297,4297,,,,,,,,,,,,,
43,Wonder Woman,Wonder Woman,Vertical Entertainment (Freeman),,2017-06-01 00:00:00,USA,,93338,13942374.72,,93338,13942374.72,2017,4533,4533,,,,,,,,,,,,,
44,Mumie,"Mummy, The",CinemArt,,2017-06-08 00:00:00,USA,,92616,14192882,,92616,14192882,2017,4485,4485,,,,,,,,,,,,,
45,Maxinožka,"Son of Bigfoot, The",Vertical Entertainment (Freeman),,2017-11-09 00:00:00,BEL,,90840,10775146,,90840,10775146,2017,3510,3510,,,,,,,,,,,,,
46,Kong: Ostrov lebek,Kong: Skull Island,Vertical Entertainment (Freeman),,2017-03-09 00:00:00,USA,,83516,12900816,,83516,12900816,2017,3503,3503,,,,,,,,,,,,,
47,Lego® Ninjago® Film,"Lego® Ninjago® Movie, The",Vertical Entertainment (Freeman),,2017-09-21 00:00:00,DNK,,83092,11044124,,83092,11044124,2017,4721,4721,,,,,,,,,,,,,
48,T2 Trainspotting,T2 Trainspotting ,Falcon,,2017-02-16 00:00:00,USA,,82863,11119824,,82863,11119824,2017,2782,2782,,,,,,,,,,,,,
49,Král Artuš: Legenda o meči,King Arthur: Legend of the Sword,Vertical Entertainment (Freeman),,2017-05-11 00:00:00,GBR,,81911,11901165,,81911,11901165,2017,3729,3729,,,,,,,,,,,,,
50,Matky na tahu o Vánocích,"Bad Mom’s Christmas, A",Vertical Entertainment (Freeman),,2017-12-07 00:00:00,USA,,79040,10071015,,79040,10071015,2017,2245,2245,,,,,,,,,,,,,
1,Anděl Páně 2,Anděl Páně 2,Falcon,,2016-12-01 00:00:00,CZ,,913767,110385631,,913767,110385631,2016,8801,8801,,,,,,,,,,,,,
2,Tajný život mazlíčků,"Secret Life of Pets, The",CinemArt,,2016-08-11 00:00:00,US,,510953,67484804,,510953,67484804,2016,11314,11314,,,,,,,,,,,,,
3,Fantastická zvířata a kde je najít,Fantastic Beasts and Where to Find Them ,Freeman Entertainment,,2016-11-17 00:00:00,BR,,457891,66255217,,457891,66255217,2016,10177,10177,,,,,,,,,,,,,
4,Lída Baarová,Lída Baarová,CinemArt,,2016-01-21 00:00:00,CZ,,414732,53140546,,414732,53140546,2016,7484,7484,,,,,,,,,,,,,
5,Dítě Bridget Jonesové,Bridget Jones’s Baby,CinemArt,,2016-09-15 00:00:00,BR,,394810,56032880,,394810,56032880,2016,7284,7284,,,,,,,,,,,,,
6,Hledá se Dory,Finding Dory ,Falcon,,2016-06-16 00:00:00,US,,387483,51818410,,387483,51818410,2016,10091,10091,,,,,,,,,,,,,
7,Teorie tygra,Teorie tygra,CinemArt,,2016-03-31 00:00:00,CZ,,385974,44569162,,385974,44569162,2016,8444,8444,,,,,,,,,,,,,
8,Bezva ženská na krku,Bezva ženská na krku,CinemArt,,2016-10-13 00:00:00,CZ,,372581,50161809,,372581,50161809,2016,6874,6874,,,,,,,,,,,,,
9,Doba ledová: Mamutí drcnutí,Ice Age: Collision Course,CinemArt,,2016-07-14 00:00:00,US,,366548,49436367,,366548,49436367,2016,9490,9490,,,,,,,,,,,,,
10,Deadpool,Deadpool,CinemArt,,2016-02-11 00:00:00,US,,350751,48537383,,350751,48537383,2016,6619,6619,,,,,,,,,,,,,
11,Lichožrouti,Lichožrouti,Falcon,,2016-10-20 00:00:00,CZ,,301996,36549842,,301996,36549842,2016,6189,6189,,,,,,,,,,,,,
12,Zootropolis: Město zvířat,Zootopia,Falcon,,2016-03-03 00:00:00,US,,294239,36182037,,294239,36182037,2016,8160,8160,,,,,,,,,,,,,
13,Warcraft: První střet,Warcraft: The Beginning,CinemArt,,2016-06-09 00:00:00,US,,290102,44392717,,290102,44392717,2016,7963,7963,,,,,,,,,,,,,
14,Kniha džunglí,"Jungle Book, The",Falcon,,2016-04-21 00:00:00,US,,289173,33373720,,289173,33373720,2016,8183,8183,,,,,,,,,,,,,
15,Padesátka,Padesátka,Bontonfilm,,2015-12-24 00:00:00,CZ,,283702,37594459,,430988,56720873,2016,6553,8066,,,,,,,,,,,,,
16,REVENANT Zmrtvýchvstání,"Revenant, The",CinemArt,,2016-01-14 00:00:00,US,,276421,38613369,,276421,38613369,2016,5513,5513,,,,,,,,,,,,,
17,Sebevražedný oddíl,Suicide Squad,Freeman Entertainment,,2016-08-04 00:00:00,US,,272918,39885820,,272918,39885820,2016,7292,7292,,,,,,,,,,,,,
18,Captain America: Občanská válka,Captain America: Civil War,Falcon,,2016-05-05 00:00:00,US,,234911,34801809,,234911,34801809,2016,6261,6261,,,,,,,,,,,,,
19,Alvin a Chipmunkové: Čiperná jízda,Alvin and the Chipmunks: The Road Chip,CinemArt,,2016-01-28 00:00:00,US,,234117,27945896,,234117,27945896,2016,4965,4965,,,,,,,,,,,,,
20,Doctor Strange,Doctor Strange,Falcon,,2016-10-27 00:00:00,US,,221118,33794618,,221118,33794618,2016,6621,6621,,,,,,,,,,,,,
21,Rogue One: Star Wars Story,Rogue One: A Star Wars Story,Falcon,,2016-12-15 00:00:00,US,,220233,34437796,,220233,34437796,2016,5611,5611,,,,,,,,,,,,,
22,Sirotčinec slečny Peregrinové pro podivné děti,Miss Peregrine’s Home for Peculiars Children,CinemArt,,2016-09-29 00:00:00,BR,,208050,28989994,,208050,28989994,2016,5187,5187,,,,,,,,,,,,,
23,Angry Birds ve filmu,Angry Birds ,Falcon,,2016-05-12 00:00:00,US,,202739,26454327,,202739,26454327,2016,7230,7230,,,,,,,,,,,,,
24,Řachanda,Řachanda,CinemArt,,2016-02-25 00:00:00,CZ,,198976,21228581,,198976,21228581,2016,3917,3917,,,,,,,,,,,,,
25,Trollové,Trolls,CinemArt,,2016-11-03 00:00:00,US,,184031,23466911,,184031,23466911,2016,5379,5379,,,,,,,,,,,,,
26,Kung Fu Panda 3,Kung Fu Panda 3,CinemArt,,2016-03-17 00:00:00,US,,182447,22603148,,182447,22603148,2016,6079,6079,,,,,,,,,,,,,
27,Batman v Superman: Úsvit spravedlnosti,Batman v Superman: Dawn of Justice,Freeman Entertainment,,2016-03-24 00:00:00,US,,182326,27197955,,182326,27197955,2016,5827,5827,,,,,,,,,,,,,
28,Anthropoid,Anthropoid,Falcon,,2016-09-28 00:00:00,BR,,168450,20866009,,168450,20866009,2016,3660,3660,,,,,,,,,,,,,
29,Jak básníci čekají na zázrak,Jak básníci čekají na zázrak,Bioscop/AQS,,2016-04-14 00:00:00,CZ,,151016,16178786,,151016,16178786,2016,3973,3973,,,,,,,,,,,,,
30,Osm hrozných,"Hateful Eight, The",Forum Film,,2016-01-07 00:00:00,US,,149718,20606824,,149718,20606824,2016,4012,4012,,,,,,,,,,,,,
31,Star Wars: Síla se probouzí,Star Wars: The Force Awakens,Falcon,,2015-12-17 00:00:00,US,,149620,23041420,,627881,98513277,2016,6055,12555,,,,,,,,,,,,,
32,Inferno,Inferno,Falcon,,2016-10-13 00:00:00,US,,146670,21080582,,146670,21080582,2016,3618,3618,,,,,,,,,,,,,
33,Alenka v říši divů: Za zrcadlem,Alice Through the Looking Glass,Falcon,,2016-05-26 00:00:00,US,,139887,19177026,,139887,19177026,2016,6412,6412,,,,,,,,,,,,,
34,Příchozí,Arrival,Falcon,,2016-11-10 00:00:00,US,,136976,18958807,,136976,18958807,2016,3179,3179,,,,,,,,,,,,,
35,Dívka ve vlaku,"Girl on the Train, The",Freeman Entertainment,,2016-10-06 00:00:00,US,,130660,18012063,,130660,18012063,2016,3289,3289,,,,,,,,,,,,,
36,Decibely lásky,Decibely lásky,Falcon,,2016-02-11 00:00:00,CZ,,130561,17532344,,130561,17532344,2016,3702,3702,,,,,,,,,,,,,
37,V zajetí démonů 2,"Conjuring 2, The: The Enfield Poltergeist",Freeman Entertainment,,2016-06-09 00:00:00,US,,120369,16518560,,120369,16518560,2016,3258,3258,,,,,,,,,,,,,
38,Den nezávislosti: Nový útok,Independence Day: Resurgence,CinemArt,,2016-06-23 00:00:00,US,,115471,18085633,,115471,18085633,2016,5651,5651,,,,,,,,,,,,,
39,Sezn@mka,Sezn@mka,Bontonfilm,,2016-07-28 00:00:00,CZ,,113995,15212241,,113995,15212241,2016,3403,3403,,,,,,,,,,,,,
40,Buchty a klobásy,Sausage Party,Falcon,,2016-08-25 00:00:00,US,,102278,13976465,,102278,13976465,2016,3559,3559,,,,,,,,,,,,,
41,Podfukáři 2,Now You See Me: The Second Act,Freeman Entertainment,,2016-06-16 00:00:00,US,,100596,14050193,,100596,14050193,2016,3550,3550,,,,,,,,,,,,,
42,Dvojníci,Dvojníci ,Bioscop/AQS,,2016-03-17 00:00:00,CZ,,97213,12168843,,97213,12168843,2016,3131,3131,,,,,,,,,,,,,
43,Instalatér z Tuchlovic,Instalatér z Tuchlovic,Falcon,,2016-10-06 00:00:00,CZ,,96414,12771968,,96414,12771968,2016,2743,2743,,,,,,,,,,,,,
44,Zhasni a zemřeš,Lights Out,Freeman Entertainment,,2016-07-21 00:00:00,US,,93352,12861395,,93352,12861395,2016,2588,2588,,,,,,,,,,,,,
45,Pohádky pro Emu,Pohádky pro Emu,Falcon,,2016-11-03 00:00:00,CZ,,91531,11315104,,91531,11315104,2016,2966,2966,,,,,,,,,,,,,
46,Jak se zbavit nevěsty,Jak se zbavit nevěsty,Bontonfilm,,2016-04-28 00:00:00,CZ,,91467,9807170,,91467,9807170,2016,3282,3282,,,,,,,,,,,,,
47,Strašidla,Strašidla,Falcon,,2016-08-18 00:00:00,CZ,,87998,10709478,,87998,10709478,2016,3071,3071,,,,,,,,,,,,,
48,X-Men: Apokalypsa,X-Men: Apocalypse,CinemArt,,2016-05-19 00:00:00,US,,86649,12507307,,86649,12507307,2016,4122,4122,,,,,,,,,,,,,
49,Bohové Egypta,Gods of Egypt,Bontonfilm,,2016-02-25 00:00:00,US,,84723,12678458,,84723,12678458,2016,2913,2913,,,,,,,,,,,,,
50,Prázdniny v Provence,Prázdniny v Provence,Bontonfilm,,2016-09-15 00:00:00,CZ,,81783,11168824,,81783,11168824,2016,2645,2645,,,,,,,,,,,,,
1,Mimoni,Minions,CinemArt,,2015-06-25 00:00:00,US,,830984,109864017,,830984,109864017,2015,18319,18319,,,,,,,,,,,,,
2,Padesát odstínů šedi,Fifty Shades of Grey,CinemArt,,2015-02-12 00:00:00,US,,557291,78299967,,557291,78299967,2015,8568,8568,,,,,,,,,,,,,
3,Star Wars: Síla se probouzí,Star Wars: The Force Awakens,Falcon,,2015-12-17 00:00:00,US,,478261,75471857,,478261,75471857,2015,6500,6500,,,,,,,,,,,,,
4,Spectre,Spectre,Forum Film,,2015-11-05 00:00:00,BR,,420420,59870212,,420420,59870212,2015,7051,7051,,,,,,,,,,,,,
5,Hotel Transylvánie 2,Hotel Transylvanie 2,Falcon,,2015-09-24 00:00:00,US,,344981,45056276,,344981,45056276,2015,9776,9776,,,,,,,,,,,,,
6,Jurský svět,Jurassic World,CinemArt,,2015-06-11 00:00:00,US,,344871,51751224,,344871,51751224,2015,9699,9699,,,,,,,,,,,,,
7,Avengers: Age of Ultron,Avengers: Age of Ultron,Falcon,,2015-04-30 00:00:00,US,,338170,50740926,,338170,50740926,2015,9639,9639,,,,,,,,,,,,,
8,Rychle a zběsile 7,"Fast & Furious 7
",CinemArt,,2015-04-02 00:00:00,US,,309864,40526558,,309864,40526558,2015,7655,7655,,,,,,,,,,,,,
9,V hlavě,Inside Out ,Falcon,,2015-07-23 00:00:00,US,,294883,37138758,,294883,37138758,2015,10541,10541,,,,,,,,,,,,,
10,Marťan,"Martian, The",CinemArt,,2015-10-01 00:00:00,US,,289146,43211475,,289146,43211475,2015,6823,6823,,,,,,,,,,,,,
11,SpongeBob ve filmu: Houba na suchu,"SpongeBob Movie, The: Sponge Out of Water
",CinemArt,,2015-02-05 00:00:00,US,,276647,34581323,,276647,34581323,2015,7242,7242,,,,,,,,,,,,,
12,Život je život,Život je život,Bontonfilm,,2015-05-21 00:00:00,CZ,,258274,32760954,,258274,32760954,2015,6401,6401,,,,,,,,,,,,,
13,Fakjů pane učiteli 2,Fack ju Göhte 2,CinemArt,,2015-10-29 00:00:00,GER,,212192,27143115,,212192,27143115,2015,4193,4193,,,,,,,,,,,,,
14,Fotograf,Fotograf,Bioscop/AQS,,2015-01-08 00:00:00,CZ,,201053,25636523,,201600,25715508,2015,4761,4773,,,,,,,,,,,,,
15,Hunger Games: Síla vzdoru 2.část,"Hunger Games, The: Mockingjay - Part 2",Forum Film,,2015-11-19 00:00:00,US,,198513,27484518,,198513,27484518,2015,4925,4925,,,,,,,,,,,,,
16,Vybíjená,Vybíjená,Falcon,,2015-03-12 00:00:00,CZ,,186438,24747994,,186438,24747994,2015,6621,6621,,,,,,,,,,,,,
17,Hodinový manžel,Hodinový manžel ,Hollywood,,2014-12-25 00:00:00,CZ,,175472,23392945,,231407,30953319,2015,4507,5467,,,,,,,,,,,,,
18,Babovřesky 3,Babovřesky 3,Falcon,,2015-01-22 00:00:00,CZ,,173738,22176473,,176013,22489350,2015,4988,5009,,,,,,,,,,,,,
19,Gangster Ka,Gangster Ka,Bioscop/AQS,,2015-09-10 00:00:00,CZ,,151722,21305503,,151722,21305503,2015,5806,5806,,,,,,,,,,,,,
20,Šílený Max: Zběsilá cesta,Mad Max: Fury Road,Freeman Entertainment,,2015-05-14 00:00:00,AUS,,149713,21910342,,149713,21910342,2015,5447,5447,,,,,,,,,,,,,
21,Everest,Everest,CinemArt,,2015-09-24 00:00:00,BR,,149003,22422568,,149003,22422568,2015,4426,4426,,,,,,,,,,,,,
22,Popelka,Cinderella,Falcon,,2015-03-19 00:00:00,US,,147399,16129283,,147399,16129283,2015,5741,5741,,,,,,,,,,,,,
23,Padesátka,Padesátka,Bontonfilm,,2015-12-24 00:00:00,CZ,,147286,19126414,,147286,19126414,2015,1513,1513,,,,,,,,,,,,,
24,Zvonilka a tvor Netvor,Tinker Bell and the Legend of the NeverBeast,Falcon,,2015-02-12 00:00:00,US,,145665,18030900,,145665,18030900,2015,5432,5432,,,,,,,,,,,,,
25,Paddington,Paddington,A-Company Czech,,2014-12-25 00:00:00,BR,,141334,14621638,,183527,19717590,2015,4197,5179,,,,,,,,,,,,,
26,Ovečka Shaun ve filmu,Shaun the Sheep,Bohemia Motion Pictures,,2015-04-02 00:00:00,BR,,135092,13675350,,135092,13675350,2015,5286,5286,,,,,,,,,,,,,
27,Velká šestka,Big Hero 6,Falcon,,2015-01-22 00:00:00,US,,129710,15892434,,130215,15978049,2015,4931,4943,,,,,,,,,,,,,
28,Ghoul,Ghoul,Bioscop/AQS,,2015-02-26 00:00:00,CZ,,128192,18037954,,128192,18037954,2015,4153,4153,,,,,,,,,,,,,
29,Konečně doma,Home,CinemArt,,2015-03-26 00:00:00,US,,127630,14911848,,127630,14911848,2015,6698,6698,,,,,,,,,,,,,
30,Méďa 2,Ted 2,CinemArt,,2015-07-02 00:00:00,US,,126633,16993533,,126633,16993533,2015,4625,4625,,,,,,,,,,,,,
31,Kingsman: Tajná služba,Kingsman: The Secret Service,CinemArt,,2015-02-19 00:00:00,BR,,116218,15406203,,116218,15406203,2015,3899,3899,,,,,,,,,,,,,
32,Pixely,Pixely,Falcon,,2015-08-13 00:00:00,US,,114744,16361147,,114744,16361147,2015,4892,4892,,,,,,,,,,,,,
33,Ant-Man,Ant-Man,Falcon,,2015-07-16 00:00:00,US,,108275,15457048,,108275,15457048,2015,5480,5480,,,,,,,,,,,,,
34,Gangster Ka: Afričan,Gangster Ka: Afričan,Bioscop/AQS,,2015-11-26 00:00:00,CZ,,103808,13212370,,103808,13212370,2015,3277,3277,,,,,,,,,,,,,
35,Hobit: Bitva pěti armád,"Hobbit,The: The Battle of the Five Armies",Freeman Entertainment,,2014-12-11 00:00:00,US,,102919,15347658,,669613,102716605,2015,3743,11968,,,,,,,,,,,,,
36,Mission: Impossible - Národ grázlů,Mission: Impossible - Rogue Nation,CinemArt,,2015-07-30 00:00:00,US,,97048,13809657,,97048,13809657,2015,4562,4562,,,,,,,,,,,,,
37,Terminator Genisys,Terminator Genisys,CinemArt,,2015-07-09 00:00:00,US,,94929,14183553,,94929,14183553,2015,4176,4176,,,,,,,,,,,,,
38,Hodný dinosaurus,"Good Dinosaur, The",Falcon,,2015-11-26 00:00:00,US,,94821,11294912,,94821,11294912,2015,3272,3272,,,,,,,,,,,,,
39,Kód Enigmy,"Imitation Game, The",Forum Film,,2015-01-29 00:00:00,BR,,94376,11350854,,94412,11355762,2015,2782,2783,,,,,,,,,,,,,
40,Kobry a užovky,Kobry a užovky,Falcon,,2015-02-19 00:00:00,CZ,,94015,11277242,,94015,11277242,2015,3198,3198,,,,,,,,,,,,,
41,Poslední lovec čarodějnic,"Last Witch Hunter, The",Bontonfilm,,2015-10-22 00:00:00,US,,93598,12722346,,93598,12722346,2015,2694,2694,,,,,,,,,,,,,
42,Domácí péče,Domácí péče,A-Company Czech,,2015-07-16 00:00:00,CZ,,93350,10434161,,93350,10434161,2015,3906,3906,,,,,,,,,,,,,
43,Sedmero krkavců,Sedmero krkavců,Bohemia Motion Pictures,,2015-06-04 00:00:00,CZ,,88780,8453507,,88780,8453507,2015,3939,3939,,,,,,,,,,,,,
44,Aldabra: Byl jednou jeden ostrov,Aldabra: Byl jednou jeden ostrov ,Falcon,,2015-11-19 00:00:00,CZ,,85114,10960275,,85114,10960275,2015,3137,3137,,,,,,,,,,,,,
45,Vánoční Kameňák,Vánoční Kameňák,Indigo Film,,2015-12-03 00:00:00,CZ,,84660,9604158,,84660,9604158,2015,2795,2795,,,,,,,,,,,,,
46,Teorie všeho,"Theory of Everything, The",CinemArt,,2015-02-26 00:00:00,BR,,84213,9575092,,84213,9575092,2015,2730,2730,,,,,,,,,,,,,
47,Asterix: Sídliště bohů,Astérix: Le domaine des dieux,Bioscop/AQS,,2015-03-05 00:00:00,FR,,80608,8523001,,80608,8523001,2015,3769,3769,,,,,,,,,,,,,
48,Labyrint: Zkoušky ohněm,Maze Runner: The Scorch Trials,CinemArt,,2015-09-17 00:00:00,US,,79700,10984000,,79700,10984000,2015,3648,3648,,,,,,,,,,,,,
49,Rezistence,Insurgent,Bontonfilm,,2015-03-19 00:00:00,US,,78350,10783857,,78350,10783857,2015,3779,3779,,,,,,,,,,,,,
