poř.,titul,titul orig.,distributor,formát,premiéra,produkce,předst.,diváci,tržby,předst._celkem,diváci_celkem,tržby_celkem,rok,předst,předst_celkem,číslo,úprava,kopií,čisté tržby,pořadí,český název,orig. název,země,diváků,čistá tržba,titul cz,titul orig,prod
30,Mavka: Strážkyně lesa,Mavka. Lisova pisnya,CinemArt ,"2D, MP4",2023-07-20 00:00:00,UKR,4016,107225,16381524.5,4016,107225,16381524.5,2023,,,,,,,,,,,,,,,
31,Jak přežít svého muže,Jak přežít svého muže,Falcon ,"2D, MP4",2023-11-09 00:00:00,CZE,4021,106248,19099914,4021,106248,19099914,2023,,,,,,,,,,,,,,,
32,Mission: Impossible Odplata - První část,Mission: Impossible Dead Reckoning - Part 1,CinemArt ,"DVD, 2D, BR, IM2, 4D2",2023-07-13 00:00:00,USA,5304,105788,21767419.7,5304,105788,21767419.7,2023,,,,,,,,,,,,,,,
33,Zoubková víla,My Fairy Troublemaker,Bohemia MP ,"2D, MP4",2023-01-19 00:00:00,DEU,3788,104846,14708088,3788,104846,14708088,2023,,,,,,,,,,,,,,,
34,Přání,Wish,Falcon ,"2D, 3D, 4D3",2023-11-30 00:00:00,USA,4399,96990,14685334,4399,96990,14685334,2023,,,,,,,,,,,,,,,
35,Sestra II,The Nun II,Vertical Ent. ,"2D, IM2, 4D2",2023-09-07 00:00:00,USA,4385,96902,19684981.68,4385,96902,19684981.68,2023,,,,,,,,,,,,,,,
36,Aquaman a ztracené království,Aquaman and the Lost Kingdom,Vertical Ent. ,"2D, 3D, IM3, 4D2, 4D3",2023-12-21 00:00:00,USA,2900,96655,19882444,2900,96655,19882444,2023,,,,,,,,,,,,,,,
37,Vocasy na tripu,Strays,CinemArt ,2D,2023-08-17 00:00:00,USA,4332,84793,16387226.16,4332,84793,16387226.16,2023,,,,,,,,,,,,,,,
38,Tajemství a smysl života,Tajemství a smysl života,Falcon ,"2D, MP4",2023-11-23 00:00:00,CZE,2036,83876,19521559,2036,83876,19521559,2023,,,,,,,,,,,,,,,
39,Úžasný Mauric,The Amazing Maurice,Bontonfilm ,2D,2023-01-12 00:00:00,GBR,3379,80745,11762397.75,3379,80745,11762397.75,2023,,,,,,,,,,,,,,,
40,Transformers: Probuzení monster,Transformers: Rise of the Beasts,CinemArt ,"DVD, 2D, 3D, BR, IM3, 4D2, 4D3",2023-06-08 00:00:00,USA,4944,75239,13874374.6,4944,75239,13874374.6,2023,,,,,,,,,,,,,,,
41,Život pro samouky,Život pro samouky,Bontonfilm ,"2D, MP4",2023-05-11 00:00:00,CZE,3927,74200,10879052.46,3927,74200,10879052.46,2023,,,,,,,,,,,,,,,
42,Marvels,The Marvels,Falcon ,"2D, 3D, IM3, 4D3",2023-11-09 00:00:00,USA,4309,73803,13951787,4309,73803,13951787,2023,,,,,,,,,,,,,,,
43,Kouzelná Beruška a Černý kocour ve filmu,Ladybug & Cat Noir: The Movie ,Bontonfilm ,2D,2023-11-02 00:00:00,USA,2747,72909,12358854,2747,72909,12358854,2023,,,,,,,,,,,,,,,
44,Mumie,Mummies,Vertical Ent. ,2D,2023-02-02 00:00:00,USA,3188,72085,10773204.44,3188,72085,10773204.44,2023,,,,,,,,,,,,,,,
45,Její tělo,Její tělo,Bontonfilm ,"2D, MP4",2023-11-16 00:00:00,CZE,2775,70922,12638867,2775,70922,12638867,2023,,,,,,,,,,,,,,,
46,Dvě slova jako klíč ,Dvě slova jako klíč ,Bontonfilm ,"2D, MP4",2023-07-27 00:00:00,CZE,2045,68873,10650664,2045,68873,10650664,2023,,,,,,,,,,,,,,,
47,Zabijáci rozkvetlého měsíce,Killers of the Flower Moon,CinemArt ,"2D, IM2",2023-10-19 00:00:00,USA,3043,66486,13286970,3043,66486,13286970,2023,,,,,,,,,,,,,,,
48,Insidious: Červené dveře,Insidious 5,Falcon ,2D,2023-07-06 00:00:00,USA,2496,63037,12247108,2496,63037,12247108,2023,,,,,,,,,,,,,,,
49,Želvy Ninja: Mutantí chaos,Teenage Mutant Ninja Turtles: Mutant Mayhem,CinemArt ,"DVD, 2D, 4D2",2023-08-03 00:00:00,USA,3832,62758,10977542.5,3832,62758,10977542.5,2023,,,,,,,,,,,,,,,
50,"Tonda, Slávka a kouzelné světlo","Tonda, Slávka a kouzelné světlo",CinemArt ,"2D, MP4",2023-11-02 00:00:00,CZE,1771,60207,6800110,1771,60207,6800110,2023,,,,,,,,,,,,,,,
1,Top Gun: Maverick,Top Gun: Maverick,CinemArt ,"DVD, 2D, BR, IM2, 4D2, 2DL",2022-05-26 00:00:00,USA,21747,809977,147432879.14,21747,809977,147432879.14,2022,,,,,,,,,,,,,,,
2,Avatar: The Way of Water,Avatar: The Way of Water,Falcon ,"2D, 3D, HF3, IM3, 4D3",2022-12-15 00:00:00,USA,9087,763477,152496495.73,9087,763477,152496495.73,2022,,,,,,,,,,,,,,,
3,Mimoni 2: Padouch přichází,Minions: The Rise of Gru,CinemArt ,"DVD, 2D, BR, 4D2, 2DL",2022-06-30 00:00:00,USA,22259,709728,113253602.99,22259,709728,113253602.99,2022,,,,,,,,,,,,,,,
4,Vyšehrad: Fylm,Vyšehrad: Fylm,Bioscop/AQS ,"DVD, 2D, MP4",2022-04-14 00:00:00,CZE,12547,692260,108341716.44,12547,692260,108341716.44,2022,,,,,,,,,,,,,,,
5,Tajemství staré bambitky 2,Tajemství staré bambitky 2,Bioscop/AQS ,"DVD, 2D, MP4",2022-02-10 00:00:00,CZE,8793,467220,56215587.93,8793,467220,56215587.93,2022,,,,,,,,,,,,,,,
6,Thor: Láska jako hrom,Thor: Love and Thunder ,Falcon ,"2D, 3D, IM3, 4D3, 2DL",2022-07-06 00:00:00,USA,14351,465081,83158002.04,14351,465081,83158002.04,2022,,,,,,,,,,,,,,,
7,Doctor Strange v mnohovesmíru šílenství,Doctor Strange in the Multiverse of Madness,Falcon ,"2D, 3D, IM3, 4D3, 2DL",2022-05-05 00:00:00,USA,11257,373061,64860694.88,11257,373061,64860694.88,2022,,,,,,,,,,,,,,,
8,Jan Žižka,Jan Žižka,Bioscop/AQS ,"2D, MP4",2022-09-08 00:00:00,CZE,10705,351018,55582449.41,10705,351018,55582449.41,2022,,,,,,,,,,,,,,,
9,Ježek Sonic 2,Sonic the Hedgehog 2,CinemArt ,"DVD, 2D, BR, 4D2",2022-03-31 00:00:00,USA,8556,348826,52898708.48,8556,348826,52898708.48,2022,,,,,,,,,,,,,,,
10,Jurský svět: Nadvláda,Jurassic World: Dominion,CinemArt ,"DVD, 2D, 3D, BR, IM2, 4D2, 4D3, 2DL",2022-06-09 00:00:00,USA,10370,323686,57177300.98,10370,323686,57177300.98,2022,,,,,,,,,,,,,,,
11,Po čem muži touží 2,Po čem muži touží 2,CinemArt ,"DVD, 2D, MP4",2022-04-21 00:00:00,CZE,7656,275274,40115600.84,7656,275274,40115600.84,2022,,,,,,,,,,,,,,,
12,Fantastická zvířata: Brumbálova tajemství,Fantastic Beasts: The Secrets of Dumbledore,Vertical Ent. ,"2D, IM2, 4D2",2022-04-07 00:00:00,USA,7787,275048,47688871.3,7787,275048,47688871.3,2022,,,,,,,,,,,,,,,
13,Spider-Man: Bez domova,Spider-Man: No Way Home,Falcon ,"2D, 3D, IM2, 4D2, 4D3, 2DL",2021-12-16 00:00:00,USA,11520,272173,44991961.81,18376,676397,111932200.89,2022,,,,,,,,,,,,,,,
14,Uncharted,Uncharted,Falcon ,"2D, IM2, 4D2, 2DL",2022-02-10 00:00:00,USA,8633,247182,41073258.5,8633,247182,41073258.5,2022,,,,,,,,,,,,,,,
15,Black Panther: Wakanda nechť žije,Black Panther: Wakanda Forever,Falcon ,"2D, 3D, IM3, 4D3",2022-11-10 00:00:00,USA,8366,224815,41836752.24,8366,224815,41836752.24,2022,,,,,,,,,,,,,,,
16,Batman,The Batman,Vertical Ent. ,"2D, IM2, 4D2",2022-03-03 00:00:00,USA,7622,222654,39130266.96,7622,222654,39130266.96,2022,,,,,,,,,,,,,,,
17,Srdce na dlani,Srdce na dlani,CinemArt ,"2D, MP4",2022-01-20 00:00:00,CZE,7649,218504,30724339.17,7649,218504,30724339.17,2022,,,,,,,,,,,,,,,
18,Střídavka ,Střídavka,Bontonfilm ,"2D, MP4",2022-08-04 00:00:00,CZE,7455,193403,30626821.69,7455,193403,30626821.69,2022,,,,,,,,,,,,,,,
19,Vánoční příběh,Vánoční příběh,CinemArt ,2D,2022-11-24 00:00:00,CZE,5150,159778,25937407.08,5150,159778,25937407.08,2022,,,,,,,,,,,,,,,
20,Známí neznámí,Známí neznámí,CinemArt ,"2D, MP4",2022-03-31 00:00:00,CZE,4513,158125,24256929.12,4513,158125,24256929.12,2022,,,,,,,,,,,,,,,
21,DC Liga supermazlíčků,DC League of Super-Pets,Vertical Ent. ,"2D, 4D2",2022-07-28 00:00:00,USA,8199,152968,24281677.8,8199,152968,24281677.8,2022,,,,,,,,,,,,,,,
22,Princezna zakletá v čase 2,Princezna zakletá v čase 2,Bohemia MP ,"2D, MP4",2022-11-17 00:00:00,CZE,4406,149333,22247996,4406,149333,22247996,2022,,,,,,,,,,,,,,,
23,Zpívej 2,Sing 2,CinemArt ,"DVD, 2D, BR",2021-12-23 00:00:00,USA,6146,146832,20025691.06,7883,189303,26302030.96,2022,,,,,,,,,,,,,,,
