poř,min_poř,film,distributor,prod,formát,poč_týd,poč_kin,víkend_tržby,víkend_diváci,změna_v_%,poč_kin,min_týden_tržby,min_týden_diváci,celkem_tržby,celkem_diváci,rok,tyden
1,1,Rychle a zběsile 10,"Cinemart, a.s.",USA,"2D, IM2, 4D2, DB2",2,125,5392914.76,28173,-0.5539,219,14913391.22,79506,21365471.28,113579,2023,21
2,2,Strážci Galaxie: Volume 3,FALCON a.s.,USA,"2D, 3D, IM3, 4D3, DB2",4,89,4544334.05,22980,-0.3956,135,9611176.86,49867,65170741.63,339559,2023,21
3,,Malá mořská víla,FALCON a.s.,USA,"2D, 3D, 4D3",1,210,2554770.02,15263,,,,,2554770.02,15263,2023,21
4,12,Cool Girl!,"DonArt production, s.r.o.",CZE,2D,1,78,1529977.91,8962,9.3277,4,148143,854,1754064.91,10072,2023,21
5,3,Super Mario Bros. ve filmu,"Cinemart, a.s.",USA,2D,8,73,982666.25,5917,-0.3498,117,1799868.93,11010,53828845.36,328424,2023,21
6,4,Život pro samouky,BONTONFILM a.s.,CZE,"2D, MP4",3,103,741243.13,4121,-0.4201,158,1820522.25,10499,7123081.34,42259,2023,21
7,,"Muž, který stál v cestě",BONTONFILM a.s.,CZE,"2D, MP4",1,161,614871.69,3715,,3,2925,853,617796.69,4573,2023,21
8,5,Myška Pattie: Na vlnách dobrodružství,"AQS, a.s. (divize BIOSCOP)",FRA,2D,3,63,241962.79,1443,-0.6667,141,838171.29,4930,2944649.46,17672,2023,21
9,8,Smrtelné zlo: Probuzení,Vertical Entertainment s.r.o.,USA,2D,6,22,205969.48,1060,-0.5318,35,563612.57,2898,9631479.61,57301,2023,21
10,,Saint Seiya: Rytíři zvěrokruhu - Počátek ,FALCON a.s.,USA,2D,1,131,188797.32,1094,,,,,188797.32,1094,2023,21
11,9,Aftersun,AEROFILMS s.r.o.,GBR,"2D, MP4",2,15,149103.56,983,-0.3291,44,336120,2210,681019.56,4428,2023,21
12,10,Hypnotik,Vertical Entertainment s.r.o.,USA,2D,3,15,83067.73,413,-0.5952,45,306235.01,1541,1287329.82,6643,2023,21
13,27,Kocour v botách: Poslední přání,"Cinemart, a.s.",USA,"DVD, 2D",23,13,82640,1001,1.0377,23,61712,650,83297953.91,503342,2023,21
14,7,Znovu se zamilovat,FALCON a.s.,USA,2D,2,34,79713.46,433,-0.8228,153,646346.16,3636,913611.62,4992,2023,21
15,20,BUĎ CHLAP!,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",10,20,76115,791,0.2259,30,121075.46,984,28700867.09,170352,2023,21
16,13,John Wick: Kapitola 4,Vertical Entertainment s.r.o.,USA,2D,10,6,68396,318,-0.4997,16,194312.38,942,34841107.39,181618,2023,21
17,14,Mia a já ve filmu ,BONTONFILM a.s.,DEU,"2D, MP4",5,25,56365,456,-0.5759,59,152018,977,3264754.94,22262,2023,21
18,22,On se bojí,AEROFILMS s.r.o.,USA,"2D, MP4",6,12,55431,342,-0.0643,19,90251.46,567,1098440.7,6985,2023,21
19,11,Dungeons & Dragons: Čest zlodějů,"Cinemart, a.s.",USA,2D,9,6,52694,255,-0.7204,23,248680.38,1224,31637127.44,169736,2023,21
20,17,Papežův vymítač,FALCON a.s.,USA,2D,8,9,49004,285,-0.2997,12,89833,481,8540651.1,47633,2023,21
1,,Rychle a zběsile 10,"Cinemart, a.s.",USA,"2D, IM2, 4D2, DB2",1,215,12087985.47,66162,,37,1059165.3,5900,13147150.77,72062,2023,20
2,1,Strážci Galaxie: Volume 3,FALCON a.s.,USA,"2D, 3D, DB2",3,120,7518107.43,38920,-0.4863,160,18283625.84,93369,58533338.15,305632,2023,20
3,3,Super Mario Bros. ve filmu,"Cinemart, a.s.",USA,"2D, 4D2",7,116,1511224.52,9047,-0.4054,109,2946611.68,17064,52557534.7,320544,2023,20
4,2,Život pro samouky,BONTONFILM a.s.,CZE,"2D, MP4",2,142,1278204.35,7319,-0.5904,239,4143873.96,24565,5839520.31,34958,2023,20
5,4,Myška Pattie: Na vlnách dobrodružství,"AQS, a.s. (divize BIOSCOP)",FRA,"2D, MP4",2,138,725836,4304,-0.5229,157,1767022.4,10525,2590351.38,15603,2023,20
6,22,Znovu se zamilovat,FALCON a.s.,USA,2D,1,127,449774.84,2497,4.1943,16,187552,923,637326.84,3420,2023,20
7,5,Smrtelné zlo: Probuzení,Vertical Entertainment s.r.o.,USA,2D,5,31,439828.92,2233,-0.414,48,971988.5,5048,9301726.48,55576,2023,20
8,29,Aftersun,AEROFILMS s.r.o.,GBR,"2D, MP4",1,31,222222,1437,6.7375,8,77332,468,418018,2672,2023,20
9,6,Hypnotik,Vertical Entertainment s.r.o.,USA,2D,2,30,205204.91,998,-0.6778,104,898027.08,4689,1103231.99,5687,2023,20
10,7,Dungeons & Dragons: Čest zlodějů,"Cinemart, a.s.",USA,2D,8,20,188399,904,-0.6342,44,662430.34,3395,31524152.06,169161,2023,20
11,,Cool Girl!,"DonArt production, s.r.o.",CZE,2D,-1,3,148143,497,,1,75944,256,224087,753,2023,20
12,11,John Wick: Kapitola 4,Vertical Entertainment s.r.o.,USA,2D,9,12,136692.82,641,-0.5014,28,371194.76,1830,34715091.83,180999,2023,20
13,8,Mia a já ve filmu ,BONTONFILM a.s.,DEU,"2D, MP4",4,55,132898,848,-0.6157,71,400710.19,2451,3189269.94,21677,2023,20
14,10,Život kotěte,"Cinemart, a.s.",FRA,2D,3,51,94496.62,624,-0.6582,81,295132,1911,1191524.08,7689,2023,20
15,14,Papežův vymítač,FALCON a.s.,USA,"2D, DB2",7,10,69975,372,-0.5119,27,181630,982,8471789.1,47239,2023,20
16,20,Katedrála,AEROFILMS s.r.o.,SVK,"2D, MP4",2,19,68556,520,-0.2291,40,144871,1033,241481,1934,2023,20
17,9,BUĎ CHLAP!,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",9,13,62087.46,358,-0.8192,55,513971.03,3223,28565764.09,168935,2023,20
18,15,Air: Zrození legendy,Vertical Entertainment s.r.o.,USA,2D,7,11,60785.38,323,-0.5609,16,230396.2,1095,4346620.19,23520,2023,20
19,21,On se bojí,AEROFILMS s.r.o.,USA,2D,5,13,59237,367,-0.3255,27,133845,832,1011995.24,6443,2023,20
20,13,Sisu,FALCON a.s.,FIN,"2D, DB2",4,19,57910.73,336,-0.7324,53,306623.96,1671,2826972.8,16397,2023,20
1,1,Strážci Galaxie: Volume 3,FALCON a.s.,USA,"2D, 3D, IM3, 4D3, DB2",2,153,14634864.73,74744,-0.3607,233,30704102.56,162755,47366469.61,248087,2023,19
2,,Život pro samouky,BONTONFILM a.s.,CZE,"2D, MP4",1,226,3120094.02,18552,,25,417442,3074,3537536.02,21626,2023,19
3,2,Super Mario Bros. ve filmu,"Cinemart, a.s.",USA,"2D, 4D2, DB2",6,107,2541215.7,14766,-0.1916,150,4066692.4,23765,50640914.2,309199,2023,19
4,17,Myška Pattie: Na vlnách dobrodružství,"AQS, a.s. (divize BIOSCOP)",FRA,2D,1,151,1521318.4,9098,14.6043,18,97492.98,774,1618811.38,9872,2023,19
5,3,Smrtelné zlo: Probuzení,Vertical Entertainment s.r.o.,USA,2D,4,44,750499.04,3846,-0.3758,62,1510201.14,7887,8640408.1,52141,2023,19
6,,Hypnotik,Vertical Entertainment s.r.o.,USA,2D,1,91,636806.21,3298,,,,,636806.21,3298,2023,19
7,4,Dungeons & Dragons: Čest zlodějů,"Cinemart, a.s.",USA,"2D, DB2",7,38,514970.96,2631,-0.3834,54,1152221.46,5908,31188293.68,167493,2023,19
8,6,Mia a já ve filmu ,BONTONFILM a.s.,DEU,"2D, MP4",3,68,345811.19,2066,-0.4624,109,840585.49,5003,3001472.94,20444,2023,19
9,5,BUĎ CHLAP!,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",8,35,343385.03,1935,-0.524,83,959713.32,5589,28333090.63,167289,2023,19
10,7,Život kotěte,"Cinemart, a.s.",FRA,2D,2,77,276394,1790,-0.5545,157,768515.46,4896,1078289.46,6944,2023,19
11,8,John Wick: Kapitola 4,Vertical Entertainment s.r.o.,USA,"2D, DB2",8,24,274119.29,1324,-0.5211,60,786494.81,3928,34481323.54,179852,2023,19
12,9,Sisu,FALCON a.s.,FIN,"2D, DB2",3,44,216405.5,1170,-0.5583,117,699050.52,3859,2678843.61,15560,2023,19
13,10,Papežův vymítač,FALCON a.s.,USA,2D,6,23,143356,770,-0.6273,41,504060.92,2605,8363540.1,46655,2023,19
14,13,Air: Zrození legendy,Vertical Entertainment s.r.o.,USA,2D,6,13,138408.92,661,-0.2381,24,239465.38,1192,4193847.53,22763,2023,19
15,14,Kocour v botách: Poslední přání,"Cinemart, a.s.",USA,"DVD, 2D",21,24,94821.01,672,-0.3835,28,205189.38,1316,83118569.91,501153,2023,19
16,12,Invalida,"Cinemart, a.s.",SVK,2D,4,30,92869.18,542,-0.6037,77,306785.56,1774,2664657.31,17936,2023,19
17,100,Katedrála,AEROFILMS s.r.o.,SVK,"2D, MP4",1,22,88929,626,57.1235,3,16580,204,116983,1007,2023,19
18,15,On se bojí,AEROFILMS s.r.o.,USA,2D,4,17,87812,526,-0.3747,35,196901,1220,906725.24,5770,2023,19
19,,Znovu se zamilovat,FALCON a.s.,USA,2D,-1,14,86590,453,,,,,86590,453,2023,19
20,19,Ostrov,"Cinemart, a.s.",CZE,"2D, MP4",15,26,72660,702,-0.0769,44,118282,1161,50357464.16,289485,2023,19
1,,Strážci Galaxie: Volume 3,FALCON a.s.,USA,"DVD, 2D, 3D, IM3, 4D3, DB2",1,229,22891839.72,122380,,77,2027502.32,10588,24919342.04,132968,2023,18
2,1,Super Mario Bros. ve filmu,"Cinemart, a.s.",USA,"2D, DB2",5,136,3143177.4,18388,-0.243,136,5359953.8,30257,46552081.9,287864,2023,18
3,2,Smrtelné zlo: Probuzení,Vertical Entertainment s.r.o.,USA,2D,3,55,1202254.14,6255,-0.4211,76,2660062.66,14199,7581963.68,46663,2023,18
4,3,Dungeons & Dragons: Čest zlodějů,"Cinemart, a.s.",USA,2D,6,44,835051.46,4277,-0.56,85,2430269.14,12601,29871271.72,163052,2023,18
5,5,BUĎ CHLAP!,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",7,60,721307.3,3987,-0.3897,107,1442616.71,8351,27723414.92,163210,2023,18
6,4,Mia a já ve filmu ,BONTONFILM a.s.,DEU,"2D, MP4",2,100,643223.03,3862,-0.5093,190,1519827.27,9754,2458125.86,17230,2023,18
7,44,Život kotěte,"Cinemart, a.s.",FRA,2D,1,147,620312,3980,25.5772,10,27630,210,653692,4238,2023,18
8,6,John Wick: Kapitola 4,Vertical Entertainment s.r.o.,USA,"2D, DB2",7,51,572366.81,2860,-0.4558,69,1379935.07,6866,33961882.73,177460,2023,18
9,7,Sisu,FALCON a.s.,FIN,"2D, DB2",2,93,489849.87,2646,-0.5187,127,1382036.09,7382,2252268.46,13141,2023,18
10,9,Papežův vymítač,FALCON a.s.,USA,"2D, DB2",5,34,384592.46,1966,-0.4829,55,931111.27,4757,8105137.64,45276,2023,18
11,8,Krásná katastrofa,Vertical Entertainment s.r.o.,USA,2D,2,49,343791.96,1776,-0.5545,134,1051552.42,5961,1395344.38,7737,2023,18
12,10,Invalida,"Cinemart, a.s.",SVK,2D,3,65,234328.83,1347,-0.6765,134,915914.57,5169,2489748.64,16897,2023,18
13,12,Air: Zrození legendy,Vertical Entertainment s.r.o.,USA,2D,5,16,181650.38,875,-0.4235,39,461646.61,2406,3996423.11,21910,2023,18
14,13,Kocour v botách: Poslední přání,"Cinemart, a.s.",USA,"DVD, 2D",20,25,153786.38,1027,-0.4773,45,369784.01,2447,82970960.9,500031,2023,18
15,15,On se bojí,AEROFILMS s.r.o.,USA,2D,3,25,140411,862,-0.31,42,278884.96,1648,762613.24,4877,2023,18
16,,Myška Pattie: Na vlnách dobrodružství,"AQS, a.s. (divize BIOSCOP)",FRA,2D,-1,18,97492.98,549,,,,,97492.98,549,2023,18
17,25,Ostrov,"Cinemart, a.s.",CZE,"2D, MP4",14,30,78712,729,0.2431,39,118106,1117,50237394.16,288289,2023,18
18,14,Mafia Mamma,"AQS, a.s. (divize BIOSCOP)",GBR,2D,3,17,74080,356,-0.6408,65,259774.62,1353,874042.26,6054,2023,18
19,19,Myška a medvěd na cestách,"Cinemart, a.s.",FRA,2D,3,36,70476.18,462,-0.4324,83,155858.6,999,645263.82,4870,2023,18
20,11,Avatar: The Way of Water,FALCON a.s.,USA,"2D, 3D, HF3",21,6,60520,299,-0.819,23,411275,2024,298273491.156,1463844,2023,18
1,1,Super Mario Bros. ve filmu,"Cinemart, a.s.",USA,"2D, IM2, 4D2",4,112,4152139.65,23456,-0.2172,138,6162972.73,53685,42201090.35,262675,2023,17
2,2,Smrtelné zlo: Probuzení,Vertical Entertainment s.r.o.,USA,2D,2,58,2076530.38,11020,-0.2685,115,3718284.88,26201,5796177.26,37229,2023,17
3,3,Dungeons & Dragons: Čest zlodějů,"Cinemart, a.s.",USA,"2D, IM2, 4D2, DB2",5,71,1897485.31,9829,-0.1332,81,2676667.84,22143,28503436.43,156003,2023,17
4,13,Mia a já ve filmu ,BONTONFILM a.s.,DEU,"2D, MP4",1,181,1310659.81,8507,3.5303,43,295075.56,3614,1605735.37,12121,2023,17
5,5,BUĎ CHLAP!,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",6,88,1181886.73,6678,0.0203,142,1663349.28,13964,26741377.64,157550,2023,17
6,4,John Wick: Kapitola 4,Vertical Entertainment s.r.o.,USA,"2D, 4D2, DB2",6,56,1051604.92,5177,-0.2764,79,1858500.91,13923,33061185.77,172911,2023,17
7,19,Sisu,FALCON a.s.,FIN,"2D, DB2",1,101,1017755.13,5386,4.0042,40,380382.5,3063,1398137.63,8499,2023,17
8,,Krásná katastrofa,Vertical Entertainment s.r.o.,USA,2D,1,122,771534.5,4375,,,,,771534.5,4375,2023,17
9,7,Papežův vymítač,FALCON a.s.,USA,"2D, DB2",4,48,743704.89,3801,-0.1444,54,1097404.1,8489,7533138.8,42354,2023,17
10,6,Invalida,"Cinemart, a.s.",SVK,2D,2,121,724222.23,4102,-0.2452,178,1286923.24,9537,2063727.47,14483,2023,17
11,9,Avatar: The Way of Water,FALCON a.s.,USA,"2D, 3D, HF3, IM3, 4D3",20,22,334342,1680,-0.1606,38,488544.42,4276,298136038.156,1463201,2023,17
12,12,Air: Zrození legendy,Vertical Entertainment s.r.o.,USA,2D,4,29,315073.65,1488,-0.1084,39,471459.03,3517,3668199.77,20117,2023,17
13,8,Kocour v botách: Poslední přání,"Cinemart, a.s.",USA,"DVD, 2D",19,40,294161.63,2014,-0.2681,59,456987.21,5405,82741552.14,498571,2023,17
14,10,Mafia Mamma,"AQS, a.s. (divize BIOSCOP)",GBR,2D,2,52,206192.43,1076,-0.4671,116,540187.64,4228,746380.07,5421,2023,17
15,18,On se bojí,AEROFILMS s.r.o.,USA,2D,2,36,203489.96,1195,-0.0244,42,329251.28,2195,546807.24,3562,2023,17
16,15,Renfield,"Cinemart, a.s.",USA,2D,3,41,146892.92,769,-0.4103,79,323074.09,2646,1688054.33,10063,2023,17
17,17,Tři mušketýři: D’Artagnan,"AQS, a.s. (divize BIOSCOP)",FRA,"2D, MP4",4,47,140431.94,989,-0.3456,73,267051.46,2135,2957383.73,18311,2023,17
18,11,Myška a medvěd na cestách,"Cinemart, a.s.",FRA,2D,2,75,124155.6,814,-0.6644,192,415109.04,3379,543084.64,4223,2023,17
19,20,Bastardi: Reparát,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",7,15,97577.14,527,-0.3459,24,180627.58,1552,8155203.68,47527,2023,17
20,24,Zachraňte tygra,Bohemia Motion Pictures a.s.,ITA,"2D, MP4",4,27,88900.21,633,-0.0953,44,107715,1087,1354907.13,8846,2023,17
1,1,Super Mario Bros. ve filmu,"Cinemart, a.s.",USA,"2D, IM2, 4D2, DB2",3,135,5303649.41,48836,-0.558,177,13409789.14,76014,37189627.38,234370,2023,16
2,,Smrtelné zlo: Probuzení,Vertical Entertainment s.r.o.,USA,2D,1,104,2838349.22,21408,,1,1362,8,2839711.22,21416,2023,16
3,2,Dungeons & Dragons: Čest zlodějů,"Cinemart, a.s.",USA,"2D, IM2, 4D2, DB2",4,71,2189018.3,19595,-0.4503,105,4892978.08,24489,26118301.58,143626,2023,16
4,3,John Wick: Kapitola 4,Vertical Entertainment s.r.o.,USA,"2D, 4D2, DB2",5,68,1453167.76,11890,-0.4944,84,3457024.7,17452,31604247.7,165701,2023,16
5,4,BUĎ CHLAP!,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",5,109,1158338.08,10164,-0.5706,136,3249468.42,18816,25054479.71,147072,2023,16
6,45,Invalida,"Cinemart, a.s.",SVK,2D,1,162,959388.72,7627,18.2838,5,52582,391,1011970.72,8471,2023,16
7,6,Papežův vymítač,FALCON a.s.,USA,"2D, DB2",3,50,869188.18,7290,-0.5598,93,2408711.58,12604,6561217.99,37354,2023,16
8,8,Kocour v botách: Poslední přání,"Cinemart, a.s.",USA,"DVD, 2D",18,51,401892.21,4739,-0.5733,76,1066641.43,8136,82392295.51,495891,2023,16
9,11,Avatar: The Way of Water,FALCON a.s.,USA,"2D, 3D, HF3, IM3, 4D3",19,32,398283,3725,-0.3466,35,677268.5,4189,297711434.736,1460970,2023,16
10,,Mafia Mamma,"AQS, a.s. (divize BIOSCOP)",GBR,2D,1,99,386859.03,3378,,1,0,117,386859.03,3495,2023,16
11,,Myška a medvěd na cestách,"Cinemart, a.s.",FRA,2D,1,191,369901.04,3120,,,,,373721.04,3150,2023,16
12,9,Air: Zrození legendy,Vertical Entertainment s.r.o.,USA,2D,3,32,353364.3,2859,-0.6063,82,1123206.4,5877,3235031.39,17971,2023,16
13,,Mia a já ve filmu ,BONTONFILM a.s.,DEU,2D,-1,43,289306.56,3444,,,,,289306.56,3444,2023,16
14,7,Renfield,"Cinemart, a.s.",USA,2D,2,57,249075.53,2228,-0.7416,146,1211687.32,6604,1467162.85,8876,2023,16
15,10,Tři mušketýři: D’Artagnan,"AQS, a.s. (divize BIOSCOP)",FRA,"2D, MP4",3,59,214591,1779,-0.6892,107,875413.07,5232,2764491.33,16966,2023,16
16,,On se bojí,AEROFILMS s.r.o.,USA,2D,1,30,208559,1463,,1,14066,172,222625,1635,2023,16
17,,Sisu,FALCON a.s.,FIN,"2D, DB2",-1,36,203377.84,2135,,1,0,50,203377.84,2185,2023,16
18,14,Bastardi: Reparát,"AQS, a.s. (divize BIOSCOP)",CZE,2D,6,16,149168,1358,-0.5338,46,398624.87,2230,8026166.96,46806,2023,16
19,15,Děti Nagana,BONTONFILM a.s.,CZE,"2D, MP4",9,26,103920,1221,-0.5899,46,313111,3263,12659500,79686,2023,16
20,17,Zoubková víla,Bohemia Motion Pictures a.s.,DEU,2D,14,18,98596,1233,-0.5558,33,256981,2264,14053470.94,94904,2023,16
1,1,Super Mario Bros. ve filmu,"Cinemart, a.s.",USA,"2D, IM2, 4D2, DB2",2,174,11997203.7,69305,-0.2638,217,18476188.83,109291,30473392.53,178825,2023,15
2,2,Dungeons & Dragons: Čest zlodějů,"Cinemart, a.s.",USA,"DVD, 2D, IM2, 4D2, DB2",3,98,3982091.73,20383,-0.3621,139,7408226,38395,23018396.93,119925,2023,15
3,3,John Wick: Kapitola 4,Vertical Entertainment s.r.o.,USA,"2D, 4D2, DB2",4,76,2873926.86,14469,-0.412,110,5927496.49,30095,29567982.1,150828,2023,15
4,4,BUĎ CHLAP!,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",4,112,2696982.17,14711,-0.3316,136,4636186.3,25244,23343655.38,132803,2023,15
5,5,Papežův vymítač,FALCON a.s.,USA,"2D, DB2",2,76,1974379.66,10259,-0.2612,147,3283318.23,17460,5257697.89,27719,2023,15
6,,Renfield,"Cinemart, a.s.",USA,2D,1,138,963752.22,5235,,1,6400,44,970152.22,5279,2023,15
7,8,Kocour v botách: Poslední přání,"Cinemart, a.s.",USA,"DVD, 2D",17,67,941742.41,6824,-0.0784,73,1142288.48,6923,81865504.28,489840,2023,15
8,6,Air: Zrození legendy,Vertical Entertainment s.r.o.,USA,2D,2,69,897466.04,4673,-0.3361,127,1732020.69,9105,2655926.73,13908,2023,15
9,7,Tři mušketýři: D’Artagnan,"AQS, a.s. (divize BIOSCOP)",FRA,2D,2,90,690373.24,4087,-0.4749,180,1619208.26,9296,2364860.5,14042,2023,15
10,9,Avatar: The Way of Water,FALCON a.s.,USA,"2D, 3D, HF3",18,32,609462.5,3799,-0.1792,37,885944.42,4533,297245345.736,1456855,2023,15
11,10,Zachraňte tygra,Bohemia Motion Pictures a.s.,ITA,"2D, MP4",2,88,431980.74,2725,-0.3155,101,693897.18,4186,1125877.92,6911,2023,15
12,11,Bastardi: Reparát,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",5,34,319924.87,1745,-0.3666,44,608364.28,3329,7798298.96,44963,2023,15
13,13,Děti Nagana,BONTONFILM a.s.,CZE,"2D, MP4",8,32,253401,2539,0.0001,49,318012,2211,12495870,77741,2023,15
14,12,Vřískot 6,Forum Film Czech s.r.o.,USA,"2D, DB2",6,17,223833,1148,-0.3808,28,426432.72,2230,8478380.87,45353,2023,15
15,15,Zoubková víla,Bohemia Motion Pictures a.s.,DEU,"2D, MP4",13,29,221941,1737,0.0371,24,256153.94,1777,13919834.94,93144,2023,15
16,119,BANGER.,BONTONFILM a.s.,CZE,2D,30,14,220562,2338,2756.025,1,80,1,10677928.68,73578,2023,15
17,25,Muž jménem Otto,FALCON a.s.,USA,2D,11,21,200721,1901,1.4489,22,118702,823,8842656.22,51239,2023,15
18,16,Velryba,AEROFILMS s.r.o.,USA,"2D, MP4",8,20,188554,1413,-0.0727,36,274745,1851,5710892.81,34619,2023,15
19,17,Ostrov,"Cinemart, a.s.",CZE,2D,11,22,144777,1034,-0.2727,45,305325,2305,49833908.16,283689,2023,15
20,23,"Titina, psí polárnice","Asociace českých film. klubů, z. s.",NOR,"2D, MP4",3,36,134301,956,0.4589,55,103870.65,723,718501.31,5156,2023,15
1,,Super Mario Bros. ve filmu,"Cinemart, a.s.",USA,"2D, IM2, 4D2, DB2",1,211,16294832.01,96767,,2,0,229,16294832.01,96996,2023,14
2,1,Dungeons & Dragons: Čest zlodějů,"Cinemart, a.s.",USA,"2D, IM2, 4D2, DB2",2,127,6241833.77,32318,-0.1883,211,9275166.49,49328,17815231.47,93284,2023,14
3,2,John Wick: Kapitola 4,Vertical Entertainment s.r.o.,USA,"2D, DB2",3,99,4887080.7,24836,-0.3121,161,8687237.15,44960,25493886.51,130946,2023,14
4,3,BUĎ CHLAP!,"AQS, a.s. (divize BIOSCOP)",CZE,2D,3,119,4034611.55,21914,-0.2124,161,6037321.02,33784,19995489.56,113528,2023,14
5,,Papežův vymítač,FALCON a.s.,USA,"2D, DB2",1,129,2672209.24,14180,,,,,2672209.24,14180,2023,14
6,,Air: Zrození legendy,Vertical Entertainment s.r.o.,USA,2D,1,103,1351615.17,7037,,14,26440,130,1378055.17,7167,2023,14
7,,Tři mušketýři: D’Artagnan,"AQS, a.s. (divize BIOSCOP)",FRA,2D,1,170,1314648.23,7494,,3,55279,659,1369927.23,8153,2023,14
8,4,Kocour v botách: Poslední přání,"Cinemart, a.s.",USA,"DVD, 2D",16,67,1021776.08,6109,-0.3818,114,1887275.09,12612,80725663.15,481584,2023,14
9,6,Avatar: The Way of Water,FALCON a.s.,USA,"2D, 3D, HF3",17,28,742482.96,3767,-0.0348,35,921501.42,4704,296495253.796,1452412,2023,14
10,,Zachraňte tygra,Bohemia Motion Pictures a.s.,ITA,2D,1,90,631072.18,3809,,,,,631072.18,3809,2023,14
11,5,Bastardi: Reparát,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",4,32,505046.04,2713,-0.4323,59,1147643.75,6393,7190469.57,41307,2023,14
12,7,Vřískot 6,Forum Film Czech s.r.o.,USA,2D,5,23,361451.98,1881,-0.4667,45,870788.75,4591,8143627.67,43876,2023,14
13,19,Děti Nagana,BONTONFILM a.s.,CZE,"2D, MP4",7,35,253352,1509,0.0124,50,346533.56,2375,12132728.5,74175,2023,14
14,8,Shazam! Hněv bohů,Vertical Entertainment s.r.o.,USA,"2D, DB2",4,32,233311.22,1322,-0.5734,58,627571.63,3521,5749859.14,31785,2023,14
15,11,Zoubková víla,Bohemia Motion Pictures a.s.,DEU,2D,12,19,213987.94,1258,-0.5219,47,495204.91,3460,13599248.78,90288,2023,14
16,16,Velryba,AEROFILMS s.r.o.,USA,"2D, MP4",7,25,203333,1328,-0.321,37,428899.69,2549,5421309.32,32487,2023,14
17,9,Ostrov,"Cinemart, a.s.",CZE,2D,10,21,199054,1219,-0.5714,65,645094.24,4233,49683144.66,281322,2023,14
18,13,Asterix a Obelix: Říše středu,"AQS, a.s. (divize BIOSCOP)",FRA,"2D, MP4",10,19,137649.32,828,-0.5965,38,394724.37,2355,18950237.65,110887,2023,14
19,18,Ant-Man a Wasp: Quantumania,FALCON a.s.,USA,2D,8,8,128921.84,644,-0.5233,26,302270.66,1666,30457174.75,160879,2023,14
20,15,Možná řeknu ano,Vertigo International s.r.o.,USA,2D,2,11,111525.22,527,-0.6455,45,388906.98,1976,500432.2,2503,2023,14
1,3,Dungeons & Dragons: Čest zlodějů,"Cinemart, a.s.",USA,"2D, 3D, IM2, 4D2, DB2",1,206,7689551.09,40974,3.7527,51,2298231.21,11244,9987782.3,52612,2023,13
2,1,John Wick: Kapitola 4,Vertical Entertainment s.r.o.,USA,"2D, DB2",2,152,7103875.74,36707,-0.205,142,11466644.91,59088,19023444.4,97857,2023,13
3,2,BUĎ CHLAP!,"AQS, a.s. (divize BIOSCOP)",CZE,2D,2,145,5122136.2,28446,-0.3046,231,9013153.08,53220,15045693.19,86276,2023,13
4,4,Kocour v botách: Poslední přání,"Cinemart, a.s.",USA,"DVD, 2D",15,99,1652621.06,10581,0.0297,98,1797887.35,10990,79469233.04,473444,2023,13
5,5,Bastardi: Reparát,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",3,37,889494.76,4723,-0.3619,47,1702344.97,8947,6427274.54,36924,2023,13
6,7,Avatar: The Way of Water,FALCON a.s.,USA,"2D, 3D, HF3",16,28,769207.5,3809,-0.154,36,1051955.52,4953,295600476.916,1447750,2023,13
7,9,Vřískot 6,Forum Film Czech s.r.o.,USA,"2D, DB2",4,40,677757.03,3544,-0.2261,46,1077365.66,5617,7588341.97,40940,2023,13
8,6,Shazam! Hněv bohů,Vertical Entertainment s.r.o.,USA,2D,3,54,546887.34,3078,-0.5293,100,1358910.4,7566,5435863.63,30020,2023,13
9,10,Ostrov,"Cinemart, a.s.",CZE,2D,9,41,464392.24,2623,-0.3674,66,962181.41,5893,49303388.66,278493,2023,13
10,,"Titina, psí polárnice","Asociace českých film. klubů, z. s.",NOR,"2D, MP4",1,100,451284.66,3273,,,,,451284.66,3273,2023,13
11,16,Zoubková víla,Bohemia Motion Pictures a.s.,DEU,"2D, MP4",11,42,447560.91,2886,0.2227,62,423086.06,3212,13337616.84,88456,2023,13
12,14,Asterix a Obelix: Říše středu,"AQS, a.s. (divize BIOSCOP)",FRA,"2D, MP4",9,36,341112.91,1912,-0.272,64,508894.56,3244,18758976.87,109616,2023,13
13,17,Mumie,Vertical Entertainment s.r.o.,USA,2D,9,36,328076.68,2109,-0.084,48,392331.51,2582,10015218.22,61954,2023,13
14,,Možná řeknu ano,Vertigo International s.r.o.,USA,2D,1,36,314514.3,1567,,,,,314514.3,1567,2023,13
